name,owner,url,stars,forks,watchers,created_at,updated_at,description,repo_age_days,merged_pull_requests,total_releases,days_since_last_update,primary_language,closed_issues_ratio,total_issues,closed_issues
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,426154,41247,8586,2014-12-24T17:49:19Z,2025-08-21T22:49:27Z,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",3893,25726,0,0,TypeScript,0.9901659186040648,19829,19634
build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,412667,38705,6210,2018-05-09T12:03:18Z,2025-08-21T22:59:20Z,Master programming by recreating your favorite technologies from scratch.,2661,142,0,0,Markdown,0.7229647630619684,823,595
awesome,sindresorhus,https://github.com/sindresorhus/awesome,393825,31290,8003,2014-07-11T13:42:37Z,2025-08-21T22:58:28Z,😎 Awesome lists about all kinds of interesting topics,4059,679,0,0,Unknown,0.9631728045325779,353,340
free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,365594,63927,9874,2013-10-11T06:50:37Z,2025-08-21T22:59:29Z,:books: Freely available programming books,4332,6820,0,0,Python,0.9737510584250635,1181,1150
public-apis,public-apis,https://github.com/public-apis/public-apis,362188,38011,4353,2016-03-20T23:49:42Z,2025-08-21T22:54:54Z,A collective list of free APIs,3440,1872,0,0,Python,0.9887640449438202,712,704
developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,334269,42607,6857,2017-03-15T13:45:52Z,2025-08-21T22:41:57Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",3081,3693,1,0,TypeScript,0.9156749404964298,2941,2693
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,324632,79902,8491,2016-06-06T02:34:12Z,2025-08-21T22:31:59Z,A complete computer science study plan to become a software engineer.,3363,415,0,0,Unknown,0.877906976744186,516,453
system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,316852,51891,6790,2017-02-26T16:15:28Z,2025-08-21T22:57:57Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,3098,200,0,0,Python,0.26843657817109146,339,91
996.ICU,996icu,https://github.com/996icu/996.ICU,274113,21070,4216,2019-03-26T07:31:14Z,2025-08-21T21:01:24Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,2340,1067,0,0,Unknown,0,0,0
awesome-python,vinta,https://github.com/vinta/awesome-python,256090,26165,6119,2014-06-27T21:00:06Z,2025-08-21T22:58:33Z,"An opinionated list of awesome Python frameworks, libraries, software and resources.",4073,544,0,0,Python,0,0,0
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,243032,11259,2931,2015-06-01T02:33:17Z,2025-08-21T22:45:37Z,A list of Free Software network services and web applications which can be hosted on your own servers,3734,2394,1,0,Unknown,1.0,806,806
project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,240447,31456,3391,2017-04-12T05:07:46Z,2025-08-21T22:58:56Z,Curated list of project-based tutorials,3053,182,0,0,Unknown,0.37799043062200954,209,79
react,facebook,https://github.com/facebook/react,238296,49175,6715,2013-05-24T16:15:54Z,2025-08-21T22:38:17Z,The library for web and native user interfaces.,4472,12128,105,0,JavaScript,0.9430429500464518,13993,13196
vue,vuejs,https://github.com/vuejs/vue,209291,33741,5812,2013-07-29T03:24:51Z,2025-08-21T19:37:01Z,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",4406,1133,249,0,TypeScript,0.9645991224571201,10028,9673
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,204244,47339,5966,2016-07-16T09:44:01Z,2025-08-21T22:46:47Z,All Algorithms implemented in Python,3323,2976,0,0,Python,0.9521109010712036,1587,1511
linux,torvalds,https://github.com/torvalds/linux,200395,57401,7778,2011-09-04T22:48:12Z,2025-08-21T22:53:54Z,Linux kernel source tree,5100,10,0,0,C,0,0,0
javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,193045,30849,4280,2018-03-24T07:47:04Z,2025-08-21T20:41:51Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,2707,302,0,0,JavaScript,0.6256830601092896,366,229
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,191268,74786,7456,2015-11-07T01:19:20Z,2025-08-21T22:52:23Z,An Open Source Machine Learning Framework for Everyone,3575,35992,219,0,C++,0.9779566989051991,40738,39840
computer-science,ossu,https://github.com/ossu/computer-science,190759,23811,5909,2014-05-04T00:18:39Z,2025-08-21T22:35:50Z,🎓 Path to a free self-taught education in Computer Science!,4127,298,0,0,HTML,0.9785276073619632,652,638
the-book-of-secret-knowledge,trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,183169,11395,2657,2018-06-23T10:43:14Z,2025-08-21T22:59:26Z,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",2616,122,0,0,Unknown,0,0,0
You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS,182992,33656,5857,2013-11-16T02:37:24Z,2025-08-21T21:41:12Z,A book series (2 published editions) on the JS language.,4296,368,0,0,Unknown,0.9141949152542372,944,863
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,181532,51168,5260,2018-02-13T14:56:24Z,2025-08-21T21:49:31Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,2746,374,0,0,Unknown,0.7845884413309983,571,448
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,180860,26183,2636,2009-08-28T18:15:37Z,2025-08-21T21:26:53Z,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",5837,3377,0,0,Shell,0.9717969379532635,4964,4824
AutoGPT,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,177979,45946,1553,2023-03-16T09:21:07Z,2025-08-21T22:06:12Z,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",889,3197,68,0,Python,0.9528162783839575,3391,3231
vscode,microsoft,https://github.com/microsoft/vscode,175955,34508,3358,2015-09-03T20:23:38Z,2025-08-21T22:41:39Z,Visual Studio Code,3640,36221,177,0,TypeScript,0.9409516483195466,205391,193263
bootstrap,twbs,https://github.com/twbs/bootstrap,172890,79127,6695,2011-07-29T21:19:00Z,2025-08-21T20:44:04Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",5137,8972,93,0,MDX,0.9821546305656894,22751,22345
flutter,flutter,https://github.com/flutter/flutter,172005,29048,3481,2015-03-06T22:54:58Z,2025-08-21T22:03:00Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,3821,43824,7,0,Dart,0.8905766138295429,108825,96917
Python-100-Days,jackfrued,https://github.com/jackfrued/Python-100-Days,171133,54400,6109,2018-03-01T16:05:52Z,2025-08-21T22:19:08Z,Python - 100天从新手到大师,2730,13,0,0,Jupyter Notebook,0.170767004341534,691,118
gitignore,github,https://github.com/github/gitignore,168787,83012,3373,2010-11-08T20:17:14Z,2025-08-21T22:03:15Z,A collection of useful .gitignore templates,5400,1713,0,0,Unknown,0,0,0
the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line,157856,14746,2828,2015-05-20T15:11:03Z,2025-08-21T22:58:08Z,"Master the command line, in one page",3746,317,0,0,Unknown,0.5271317829457365,258,136
stable-diffusion-webui,AUTOMATIC1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui,155806,28887,1147,2022-08-22T14:05:26Z,2025-08-21T20:21:48Z,Stable Diffusion web UI,1095,1874,27,0,Python,0.6982120051085569,7830,5467
JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,151364,45974,4482,2018-05-07T13:27:00Z,2025-08-21T16:16:05Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,2663,1180,0,0,Java,0.9347826086956522,1104,1032
ollama,ollama,https://github.com/ollama/ollama,150662,12879,845,2023-06-26T19:39:32Z,2025-08-21T22:38:30Z,"Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models.",787,2470,143,0,Go,0.7795147573786894,7996,6233
awesome-go,avelino,https://github.com/avelino/awesome-go,150487,12515,2822,2014-07-06T13:42:15Z,2025-08-21T22:54:59Z,"A curated list of awesome Go frameworks, libraries and software",4064,3458,0,0,Go,0.9912663755458515,687,681
transformers,huggingface,https://github.com/huggingface/transformers,148612,30120,1161,2018-10-29T13:56:00Z,2025-08-21T22:31:10Z,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",2488,16663,223,0,Python,0.939099685675797,17816,16731
javascript,airbnb,https://github.com/airbnb/javascript,147282,26784,3722,2012-11-01T23:13:50Z,2025-08-21T20:25:24Z,JavaScript Style Guide,4675,810,0,0,JavaScript,0.9283101682516459,1367,1269
Microsoft-Activation-Scripts,massgravel,https://github.com/massgravel/Microsoft-Activation-Scripts,145492,14141,1297,2020-01-12T23:03:34Z,2025-08-21T22:22:14Z,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, KMS38, and Online KMS activation methods, along with advanced troubleshooting.",2047,6,24,0,Batchfile,1.0,721,721
youtube-dl,ytdl-org,https://github.com/ytdl-org/youtube-dl,136931,10439,2177,2010-10-31T14:35:07Z,2025-08-21T20:35:21Z,Command-line program to download videos from YouTube.com and other video sites,5408,1642,341,0,Python,0.8639046622833234,26768,23125
next.js,vercel,https://github.com/vercel/next.js,133913,29131,1484,2016-10-05T23:32:51Z,2025-08-21T22:46:32Z,The React Framework,3241,23650,1000,0,JavaScript,0.9007271171941831,23380,21059
awesome-chatgpt-prompts,f,https://github.com/f/awesome-chatgpt-prompts,132989,17657,1536,2022-12-05T13:54:13Z,2025-08-21T22:40:11Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.,990,171,0,0,JavaScript,0,0,0
n8n,n8n-io,https://github.com/n8n-io/n8n,131593,40914,785,2019-06-22T09:24:21Z,2025-08-21T22:53:33Z,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",2252,10628,382,0,TypeScript,0.8797137884355057,5171,4549
go,golang,https://github.com/golang/go,129515,18340,3362,2014-08-19T04:33:40Z,2025-08-21T21:33:48Z,The Go programming language,4020,1,0,0,Go,0.864944432177817,67935,58760
fucking-algorithm,labuladong,https://github.com/labuladong/fucking-algorithm,128954,23410,2288,2020-02-19T09:01:23Z,2025-08-21T16:41:54Z,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. ",2010,238,1,0,Markdown,0.9978213507625272,918,916
tech-interview-handbook,yangshun,https://github.com/yangshun/tech-interview-handbook,128811,15681,2176,2016-07-05T05:00:48Z,2025-08-21T22:59:19Z,💯 Curated coding interview preparation materials for busy software engineers,3334,481,0,0,TypeScript,0.6434782608695652,115,74
scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,126900,11891,1313,2017-11-21T18:00:27Z,2025-08-21T21:43:21Z,Display and control your Android device,2830,113,47,0,C,0.564435742257031,5618,3171
HelloGitHub,521xueweihan,https://github.com/521xueweihan/HelloGitHub,125868,10668,4036,2016-05-04T06:24:11Z,2025-08-21T22:42:10Z,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",3396,16,57,0,Python,0.9246478873239437,2840,2626
30-seconds-of-code,Chalarangelo,https://github.com/Chalarangelo/30-seconds-of-code,125029,12302,2594,2017-11-29T17:35:03Z,2025-08-21T22:49:16Z,Coding articles to level up your development skills,2822,827,12,0,JavaScript,1.0,300,300
react-native,facebook,https://github.com/facebook/react-native,123497,24823,3571,2015-01-09T18:10:16Z,2025-08-21T22:02:50Z,A framework for building native applications using React,3877,930,410,0,C++,0.9759567662953568,27201,26547
yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,123292,9823,640,2020-10-26T04:22:55Z,2025-08-21T22:51:10Z,A feature-rich command-line audio/video downloader,1760,2905,117,0,Python,0.8365906067737644,9773,8176
PowerToys,microsoft,https://github.com/microsoft/PowerToys,122427,7313,1163,2019-05-01T17:44:02Z,2025-08-21T21:54:52Z,Windows system utilities to maximize productivity,2304,5652,117,0,C#,0.7974822746346404,34555,27557
electron,electron,https://github.com/electron/electron,117980,16345,2808,2013-04-12T01:47:36Z,2025-08-21T21:42:15Z,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",4514,23264,1000,0,C++,0.964036296261105,21049,20292
kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,116999,41210,3214,2014-06-06T22:56:04Z,2025-08-21T22:29:34Z,Production-Grade Container Scheduling and Management,4094,62232,755,0,Go,0.9598674830160194,47692,45778
hello-algo,krahets,https://github.com/krahets/hello-algo,115620,14295,583,2022-11-04T11:08:34Z,2025-08-21T22:35:49Z,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation",1021,945,9,0,Java,0.9553903345724907,269,257
free-programming-books-zh_CN,justjavac,https://github.com/justjavac/free-programming-books-zh_CN,115033,28353,5877,2013-11-04T01:59:19Z,2025-08-21T19:26:35Z,:books: 免费的计算机编程类中文书籍，欢迎投稿,4308,282,3,0,Unknown,0,0,0
langchain,langchain-ai,https://github.com/langchain-ai/langchain,113964,18681,772,2022-10-17T02:58:36Z,2025-08-21T22:53:42Z,🦜🔗 Build context-aware reasoning applications 🦜🔗,1039,14490,947,0,Jupyter Notebook,0.9753614806246386,8645,8432
