owner,name,url,stars,pr_count
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,429574,41611
codecrafters-io,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,423922,488
sindresorhus,awesome,https://github.com/sindresorhus/awesome,404237,2208
EbookFoundation,free-programming-books,https://github.com/EbookFoundation/free-programming-books,371282,10636
public-apis,public-apis,https://github.com/public-apis/public-apis,367221,3616
kamranahmedse,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,339325,5497
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,330542,1026
donnemartin,system-design-primer,https://github.com/donnemartin/system-design-primer,321806,605
996icu,996.ICU,https://github.com/996icu/996.ICU,274453,1992
vinta,awesome-python,https://github.com/vinta/awesome-python,262442,2078
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,250378,3037
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,245386,472
facebook,react,https://github.com/facebook/react,239427,18292
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,209794,10872
vuejs,vue,https://github.com/vuejs/vue,209519,2597
torvalds,linux,https://github.com/torvalds/linux,203884,1263
ossu,computer-science,https://github.com/ossu/computer-science,194649,488
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,193450,793
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,191889,58645
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,188355,323
getify,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,183437,894
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,182415,623
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,181789,7761
Significant-Gravitas,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,178808,6332
microsoft,vscode,https://github.com/microsoft/vscode,177169,44020
twbs,bootstrap,https://github.com/twbs/bootstrap,173500,15761
flutter,flutter,https://github.com/flutter/flutter,173205,65316
jackfrued,Python-100-Days,https://github.com/jackfrued/Python-100-Days,172916,369
github,gitignore,https://github.com/github/gitignore,169789,4627
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,158371,598
AUTOMATIC1111,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,157041,3264
avelino,awesome-go,https://github.com/avelino/awesome-go,153727,4940
ollama,ollama,https://github.com/ollama/ollama,153447,3915
Snailclimb,JavaGuide,https://github.com/Snailclimb/JavaGuide,151975,1499
huggingface,transformers,https://github.com/huggingface/transformers,150563,22707
airbnb,javascript,https://github.com/airbnb/javascript,147510,1664
n8n-io,n8n,https://github.com/n8n-io/n8n,144424,14411
ytdl-org,youtube-dl,https://github.com/ytdl-org/youtube-dl,138248,4979
f,awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,134877,725
vercel,next.js,https://github.com/vercel/next.js,134805,32174
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,130883,571
golang,go,https://github.com/golang/go,130113,4657
labuladong,fucking-algorithm,https://github.com/labuladong/fucking-algorithm,129458,505
yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,129342,4141
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,129233,577
langflow-ai,langflow,https://github.com/langflow-ai/langflow,126460,6641
Chalarangelo,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,125412,1635
microsoft,PowerToys,https://github.com/microsoft/PowerToys,124064,6671
facebook,react-native,https://github.com/facebook/react-native,124015,24728
electron,electron,https://github.com/electron/electron,118534,26415
kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,117797,85917
krahets,hello-algo,https://github.com/krahets/hello-algo,117438,1207
langchain-ai,langchain,https://github.com/langchain-ai/langchain,116556,19164
langgenius,dify,https://github.com/langgenius/dify,115648,9215
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,115344,468
nodejs,node,https://github.com/nodejs/node,113537,38109
ripienaar,free-for-dev,https://github.com/ripienaar/free-for-dev,113070,3691
d3,d3,https://github.com/d3/d3,111577,1199
open-webui,open-webui,https://github.com/open-webui/open-webui,111469,4545
mrdoob,three.js,https://github.com/mrdoob/three.js,108822,18523
excalidraw,excalidraw,https://github.com/excalidraw/excalidraw,107873,5238
axios,axios,https://github.com/axios/axios,107811,1920
rust-lang,rust,https://github.com/rust-lang/rust,106876,87054
microsoft,TypeScript,https://github.com/microsoft/TypeScript,106246,18763
denoland,deno,https://github.com/denoland/deno,104558,16183
goldbergyoni,nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,104181,967
facebook,create-react-app,https://github.com/facebook/create-react-app,103747,4356
godotengine,godot,https://github.com/godotengine/godot,101731,51311
microsoft,terminal,https://github.com/microsoft/terminal,100408,4852
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,99616,619
deepseek-ai,DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,99536,159
fatedier,frp,https://github.com/fatedier/frp,99228,1014
rustdesk,rustdesk,https://github.com/rustdesk/rustdesk,99173,4533
angular,angular,https://github.com/angular/angular,98997,32660
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,98800,522
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,98511,117
iptv-org,iptv,https://github.com/iptv-org/iptv,97521,7576
tauri-apps,tauri,https://github.com/tauri-apps/tauri,97038,6038
mui,material-ui,https://github.com/mui/material-ui,96715,25433
ant-design,ant-design,https://github.com/ant-design/ant-design,96258,20453
shadcn-ui,ui,https://github.com/shadcn-ui/ui,95783,2586
